,lat,lon,speed,u10,v10,dir
64519,89.5,-101.0,1.4307613,0.64185596,-0.41016757,122.57994
64520,89.5,-100.0,1.4270912,0.63520366,-0.41760194,123.32211
64521,89.5,-99.0,1.4213964,0.6262307,-0.42652312,124.258606
64522,89.5,-98.0,1.4158529,0.61710304,-0.43527922,125.19757
64523,89.5,-97.0,1.4107765,0.6079754,-0.44387016,126.1324
64524,89.5,-96.0,1.4063488,0.5986931,-0.45279148,127.100204
64525,89.5,-95.0,1.4019722,0.5894107,-0.4613824,128.05334
64526,89.5,-94.0,1.398334,0.5802831,-0.4706339,129.04349
64527,89.5,-93.0,1.3946543,0.5706914,-0.4792249,130.02109
64528,89.5,-92.0,1.3918976,0.56156373,-0.48831132,131.00879
64529,89.5,-91.0,1.3898867,0.55228144,-0.4973979,132.00696
64530,89.5,-90.0,1.3875469,0.5426896,-0.50615394,133.00494
64531,89.5,-89.0,1.3860317,0.53340733,-0.5152405,134.0075
64532,89.5,-88.0,1.3852957,0.5238156,-0.5244921,135.03697
64533,89.5,-87.0,1.3845714,0.5143785,-0.5335787,136.04962
64534,89.5,-86.0,1.3833224,0.50602436,-0.541013,136.91393
64535,89.5,-85.0,1.3788892,0.496742,-0.548117,137.81493
64536,89.5,-84.0,1.3746055,0.48730502,-0.5550558,138.71884
64537,89.5,-83.0,1.3708954,0.47802266,-0.5618294,139.60779
64538,89.5,-82.0,1.3675609,0.46827623,-0.56909853,140.55113
64539,89.5,-81.0,1.364562,0.45883918,-0.5762025,141.46913
64540,89.5,-80.0,1.3622481,0.44893798,-0.58314127,142.4087
64541,89.5,-79.0,1.3602947,0.43934622,-0.5905758,143.3534
64542,89.5,-78.0,1.3586116,0.42990923,-0.5975145,144.26514
64543,89.5,-77.0,1.3577088,0.42016277,-0.60461843,145.2037
64544,89.5,-76.0,1.3568262,0.410571,-0.61188775,146.13875
64545,89.5,-75.0,1.3566204,0.40097925,-0.6191569,147.07204
64546,89.5,-74.0,1.3569313,0.39123276,-0.6262609,148.00647
64547,89.5,-73.0,1.357555,0.38164103,-0.63319963,148.92184
64548,89.5,-72.0,1.3583869,0.37282285,-0.6398081,149.7702
64549,89.5,-71.0,1.3549627,0.364314,-0.6436079,150.48798
64550,89.5,-70.0,1.3514857,0.35363933,-0.64839894,151.39177
64551,89.5,-69.0,1.3481604,0.34280992,-0.6535204,152.32034
64552,89.5,-68.0,1.3455119,0.33213523,-0.6583114,153.22786
64553,89.5,-67.0,1.3429726,0.32130584,-0.66343284,154.15872
64554,89.5,-66.0,1.3413415,0.31047645,-0.66838914,155.08444
64555,89.5,-65.0,1.3398676,0.2998017,-0.67367595,156.0098
64556,89.5,-64.0,1.3388176,0.2886629,-0.6787974,156.96207
