,lon_median10,lat_median10
0,-20.00285938,-71.25708173
1,-35.1199531,-65.61340604
2,-31.43578883,-58.0693621
3,0.441897953,-43.7844094
4,3.938167204,-35.56805596
5,3.1913109405,-24.892482045
6,-2.1931205695,-14.861629965
7,-11.19345858,-4.2016837085
8,-23.063146705,4.649206505
9,-40.47469647,14.48227294
10,-49.41198452,24.69371562
11,-46.307643205,35.72890237
12,-37.711282205,45.949939150000006
13,-25.18428898,52.560148515
14,-18.12660637,62.07117996
